Section,Table/Figure,Title,Period,Country,Age_group,Breakdown/Measure,Data_type,Value,Value_Denominator,Value_Numerator
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,<40,,Count,117270,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,<40,,Count,123830,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,<40,,Count,129200,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,<40,,Count,132000,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,<40,,Count,139255,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,40-79,,Count,2488330,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,40-79,,Count,2577295,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,40-79,,Count,2674395,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,40-79,,Count,2705585,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,40-79,,Count,2769415,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,0-79,,Count,2605600,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,0-79,,Count,2701130,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,0-79,,Count,2803595,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,0-79,,Count,2837585,,
Characteristics and trends,Table 1,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,0-79,,Count,2908670,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,<12,,Count,90,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,<12,,Count,105,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,<12,,Count,110,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,<12,,Count,120,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,<12,,Count,150,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales, 12-15,,Count,495,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales, 12-15,,Count,495,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales, 12-15,,Count,570,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales, 12-15,,Count,610,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales, 12-15,,Count,690,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,16-18,,Count,1005,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,16-18,,Count,1060,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,16-18,,Count,1005,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,16-18,,Count,1015,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,16-18,,Count,1160,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,19-25,,Count,8065,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,19-25,,Count,8725,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,19-25,,Count,8785,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,19-25,,Count,9065,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,19-25,,Count,9765,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,26-39,,Count,107615,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,26-39,,Count,113445,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,26-39,,Count,118725,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,26-39,,Count,121190,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,26-39,,Count,127495,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,40-59,,Count,925815,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,40-59,,Count,957885,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,40-59,,Count,996690,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,40-59,,Count,1010750,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,40-59,,Count,1037410,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,60-79,,Count,1562515,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,60-79,,Count,1619410,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,60-79,,Count,1677705,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,60-79,,Count,1694835,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,60-79,,Count,1732005,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2017-18,England and Wales,0-79,,Count,2605600,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2018-19,England and Wales,0-79,,Count,2701130,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2019-20,England and Wales,0-79,,Count,2803595,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2020-21,England and Wales,0-79,,Count,2837585,,
Characteristics and trends,Table 2,Number of people with type 2 diabetes by age group and audit year,2021-22,England and Wales,0-79,,Count,2908670,,
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,19-25,Female,Percentage,60.5,8065,4880
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,19-25,Male,Percentage,39.4,8065,3180
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,19-25,Total,Percentage,100,8065,8065
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,19-25,Female,Percentage,60.8,8725,5305
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,19-25,Male,Percentage,39.2,8725,3420
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,19-25,Total,Percentage,100,8725,8725
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,19-25,Female,Percentage,61.3,8785,5385
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,19-25,Male,Percentage,38.7,8785,3400
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,19-25,Total,Percentage,100,8785,8785
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,19-25,Female,Percentage,61.4,9060,5560
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,19-25,Male,Percentage,38.6,9060,3500
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2020-21,England and Wales,19-25,Total,Percentage,100,9060,9060
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,19-25,Female,Percentage,61.3,9760,5980
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,19-25,Male,Percentage,38.7,9760,3780
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2021-22,England and Wales,19-25,Total,Percentage,100,9760,9760
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,26-39,Female,Percentage,48.1,107615,51720
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,26-39,Male,Percentage,51.9,107615,55895
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2017-18,England and Wales,26-39,Total,Percentage,100,107615,107615
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,26-39,Female,Percentage,48.8,113445,55305
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,26-39,Male,Percentage,51.2,113445,58140
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2018-19,England and Wales,26-39,Total,Percentage,100,113445,113445
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,26-39,Female,Percentage,49.3,118720,58575
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,26-39,Male,Percentage,50.7,118720,60145
Characteristics and trends,Figure 1,Percentage of people with type 2 diabetes by age group and sex,2019-20,England and Wales,26-39,Total,Percentage,100,118720,118720
